Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
BMD,61,1,Macrobenth_Deep,Sea stars moonsnail whelk,1,1,1,1,1,1,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0
BMS,62,1,Macrobenth_Shallow,Octopus,1,1,1,1,1,1,0,0,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0
BML,63,1,Megazoobenthos,Crabs,1,1,1,1,1,1,1,1,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0
DUN,64,1,Dungeness,Dungeness crab,1,1,1,1,1,1,0,1,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0
CEP,65,1,Cephalopod,Squid,2,1,2,1,1,1,1,1,1,1,0,CEP,1,0,0,0,0,0,0,0
MSQ,66,1,Market_squid,Market squid,1,1,1,1,1,1,1,1,1,1,0,CEP,1,0,0,0,0,0,0,0
HSQ,67,1,Humboldt_squid,Humboldt squid,1,1,1,1,1,1,1,1,1,1,0,CEP,1,0,0,0,0,0,0,0
ZG,68,1,Gelat_Zoo,Gelatinous zooplankton,1,1,1,1,1,1,1,0,0,0,0,LG_ZOO,1,0,0,0,0,0,0,0
ZL,69,1,Carniv_Zoo,Large zooplankton,1,1,1,1,1,1,1,1,0,0,0,LG_ZOO,1,0,0,0,0,0,0,0
ZM,70,1,Zoo,Mesozooplankton,1,1,1,1,1,1,1,0,0,0,0,MED_ZOO,1,0,0,0,0,0,0,0
PTE,71,1,Pteropod,Pteropods,1,1,1,1,1,1,1,1,0,0,0,LG_ZOO,1,0,0,0,0,0,0,0
ZS,72,1,MicroZoo,Microzooplankton,1,1,1,1,1,1,1,0,0,0,0,SM_ZOO,1,0,0,0,0,0,0,0
