Time FPS FVS FVT FDS SHD SB PIN WHB WHT BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.000000e+01 1350.656271 467752.439663 4638.591835 48198.231898 151890.659527 87.263283 536.182338 1384.896738 756.948722 1222.375402 12221.317619 2415.275136 2454.022641 19564.299151 1018673.528657 103327.129446 244708.747393 2446.915682 1246058.609700 4257333.895178 5138613.533462 61369923.873220 740919.303351 42684884.077552 21015118.778069 2085511.519239 2077827.441078 10579102.187352 41640276.146284 0.000000 4306018563.381025 1.007919 0.957018 0.786525 1.001525 0.995672 1.032002 1.000054 1.013877 1.001009 0.998981 0.998782 0.986937 1.002770 0.999303 1.126208 0.994535 0.999936 0.999866 0.999454 1.136344 1.689926 1.084898 1.130884 1.138690 56.092410 1.003663 0.999965 1.018250 1.001980 1.000000 2.028961 0.000053 0.000000 21.800000 1885068446.713523 2.457997 0.060849
2.100000e+01 1351.192751 467352.283938 4638.229517 48201.834972 151857.646473 87.263284 536.183455 1384.896738 756.986634 1222.312980 12220.563269 2413.704166 2454.371836 19563.598000 1018593.077351 103299.521268 244707.965938 2446.899014 1246025.291766 4257418.316918 5137813.482233 61354146.262628 740944.411357 42690598.860674 21199913.724117 2085987.883666 2077823.921965 10587181.867976 41644381.470724 0.000000 4306090039.114629 1.008320 0.956199 0.786464 1.001600 0.995456 1.032002 1.000056 1.013877 1.001059 0.998930 0.998720 0.986295 1.002913 0.999267 1.126119 0.994269 0.999933 0.999859 0.999427 1.136367 1.689663 1.084619 1.130923 1.138843 56.585655 1.003893 0.999964 1.019027 1.002079 1.000000 2.028995 0.000053 0.000000 21.800000 1885035923.752243 2.419485 0.060849
2.200000e+01 1351.729207 466973.385040 4637.867370 48205.435387 151824.656701 87.263286 536.184569 1384.896738 757.024539 1222.250584 12219.809150 2412.136220 2454.721069 19562.896589 1018512.712261 103271.928561 244707.184993 2446.882325 1245991.974806 4257502.710876 5137012.660653 61338341.775866 740969.503410 42696309.718873 21365312.526536 2086473.093702 2077820.403913 10595213.513224 41648483.308961 0.000000 4306159648.548769 1.008720 0.955424 0.786402 1.001675 0.995239 1.032002 1.000058 1.013877 1.001109 0.998879 0.998659 0.985654 1.003055 0.999231 1.126031 0.994003 0.999930 0.999852 0.999400 1.136389 1.689400 1.084340 1.130961 1.138995 57.027129 1.004126 0.999962 1.019800 1.002178 1.000000 2.029028 0.000053 0.000000 21.800000 1885003409.104843 2.380975 0.060848
2.300000e+01 1352.265628 466614.069610 4637.505395 48209.033402 151791.690174 87.263287 536.185680 1384.896738 757.062438 1222.188213 12219.055257 2410.571294 2455.070337 19562.194919 1018432.430761 103244.351260 244706.404556 2446.865616 1245958.658702 4257587.075633 5136209.949586 61322459.226070 740994.578880 42702015.873716 21514140.046644 2086967.083133 2077816.887114 10603200.314720 41652581.629312 0.000000 4306227701.335089 1.009120 0.954689 0.786341 1.001750 0.995023 1.032002 1.000060 1.013877 1.001159 0.998828 0.998597 0.985015 1.003198 0.999195 1.125942 0.993738 0.999926 0.999845 0.999374 1.136412 1.689136 1.084059 1.130999 1.139147 57.424371 1.004364 0.999960 1.020569 1.002276 1.000000 2.029060 0.000053 0.000000 21.800000 1884970902.828109 2.342467 0.060848
2.400000e+01 1352.802006 466272.839622 4637.143593 48212.628632 151758.746856 87.263288 536.186790 1384.896738 757.100331 1222.125867 12218.301585 2409.009380 2455.419640 19561.492990 1018352.230704 103216.789489 244705.624627 2446.848886 1245925.344171 4257671.411592 5135406.584821 61306565.053273 741019.637450 42707716.685547 21648699.156860 2087469.783311 2077813.370364 10611145.031306 41656676.412477 0.000000 4306294341.688832 1.009521 0.953991 0.786279 1.001825 0.994807 1.032002 1.000062 1.013877 1.001210 0.998777 0.998536 0.984376 1.003341 0.999159 1.125853 0.993472 0.999923 0.999839 0.999347 1.136434 1.688872 1.083778 1.131037 1.139299 57.783529 1.004606 0.999959 1.021334 1.002375 1.000000 2.029091 0.000053 0.000000 21.800000 1884938404.902987 2.303962 0.060848
2.500000e+01 1353.338333 465948.349732 4636.781963 48216.221484 151725.826710 87.263289 536.187897 1384.896738 757.138218 1222.063546 12217.548128 2407.450472 2455.768977 19560.790802 1018272.110054 103189.243020 244704.845205 2446.832135 1245892.030325 4257755.717747 5134601.409798 61290603.688665 741044.678767 42713411.599935 21770874.893353 2087981.122210 2077809.855146 10619050.078441 41660767.649917 0.000000 4306359800.247212 1.009921 0.953327 0.786218 1.001899 0.994591 1.032002 1.000064 1.013877 1.001260 0.998726 0.998474 0.983739 1.003484 0.999123 1.125765 0.993207 0.999920 0.999832 0.999320 1.136457 1.688607 1.083496 1.131076 1.139451 58.109634 1.004852 0.999957 1.022095 1.002473 1.000000 2.029122 0.000053 0.000000 21.800000 1884905915.275127 2.265462 0.060848
2.600000e+01 1353.873904 465627.611022 4636.420442 48219.774371 151692.793457 87.263290 536.188732 1384.896738 757.175826 1222.000585 12216.780868 2405.890005 2456.126561 19560.073198 1018192.410321 103161.676579 244704.060328 2446.815286 1245858.675755 4257841.563083 5133796.043312 61274501.485462 741070.818410 42719173.684008 21882233.134216 2088501.619521 2077806.336066 10626916.729964 41664855.660843 0.000000 4306424514.012213 1.010320 0.952671 0.786157 1.001973 0.994375 1.032002 1.000066 1.013877 1.001309 0.998675 0.998411 0.983102 1.003630 0.999087 1.125676 0.992942 0.999917 0.999825 0.999293 1.136480 1.688342 1.083211 1.131115 1.139605 58.406865 1.005102 0.999955 1.022852 1.002572 1.000000 2.029153 0.000053 0.000000 21.800000 1884873433.604165 2.227015 0.060848
2.700000e+01 1354.409417 465322.355861 4636.059093 48223.324627 151659.783568 87.263292 536.189566 1384.896738 757.213428 1221.937649 12216.013818 2404.332546 2456.484179 19559.355327 1018112.787652 103134.125532 244703.275970 2446.798416 1245825.322380 4257927.375716 5132989.270051 61258414.460688 741096.939002 42724928.662903 21984112.200631 2089030.616106 2077802.817672 10634747.674818 41668940.105974 0.000000 4306488230.704844 1.010720 0.952046 0.786096 1.002047 0.994159 1.032002 1.000068 1.013877 1.001359 0.998623 0.998349 0.982465 1.003776 0.999050 1.125588 0.992677 0.999914 0.999818 0.999267 1.136503 1.688077 1.082927 1.131155 1.139758 58.678795 1.005357 0.999954 1.023606 1.002670 1.000000 2.029183 0.000053 0.000000 21.800000 1884840959.100838 2.188572 0.060847
2.800000e+01 1354.944865 465031.483457 4635.697917 48226.872249 151626.797005 87.263293 536.190397 1384.896738 757.251023 1221.874736 12215.246975 2402.778088 2456.841833 19558.637189 1018033.240508 103106.589770 244702.492128 2446.781525 1245791.969820 4258013.155044 5132181.618578 61242323.058362 741123.040452 42730676.181383 22077629.620190 2089568.045250 2077799.300604 10642544.567591 41673020.993839 0.000000 4306551066.556097 1.011120 0.951451 0.786034 1.002121 0.993942 1.032002 1.000069 1.013877 1.001409 0.998572 0.998286 0.981830 1.003922 0.999013 1.125500 0.992412 0.999910 0.999811 0.999240 1.136526 1.687811 1.082642 1.131195 1.139912 58.928407 1.005616 0.999952 1.024356 1.002768 1.000000 2.029212 0.000053 0.000000 21.600000 1884808492.858261 2.150135 0.060847
2.900000e+01 1355.480243 464753.997600 4635.336913 48230.417295 151593.833732 87.263294 536.191225 1384.896738 757.288613 1221.811846 12214.480335 2401.226627 2457.199520 19557.918784 1017953.767356 103079.069406 244701.708803 2446.764613 1245758.618729 4258098.899072 5131372.669297 61226198.342621 741149.122573 42736415.918388 22163733.446968 2090113.839394 2077795.783755 10650308.884359 41677098.337480 0.000000 4306613136.481929 1.011519 0.950883 0.785973 1.002194 0.993726 1.032002 1.000071 1.013877 1.001458 0.998521 0.998223 0.981196 1.004068 0.998977 1.125413 0.992147 0.999907 0.999804 0.999213 1.136549 1.687545 1.082357 1.131235 1.140065 59.158230 1.005878 0.999950 1.025103 1.002866 1.000000 2.029242 0.000053 0.000000 21.600000 1884776034.903541 2.111702 0.060847
