Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
5.700000e+02 116969.157319 34710.950052 12442.596773 79402.108061 16133.335762 1.130028 999.733764 0.000000 1411.941798 101789.930657 26098.949279 240843.120265 4558.406997 329028.182977 2864.518256 21168.469786 1024663.227683 1009064.004381 2436771.905577 2434.244776 1231179.520049 4488703.588781 4698710.793706 65757403.143467 781527.520913 42919272.057673 12921534.739275 2416810.584073 2074477.077433 12755638.971632 43644628.602937 0.000000 4354261760.011172 0.872875 0.473456 1.054891 1.099947 1.057571 0.796557 0.932321 1.000000 0.933595 1.358461 1.066463 0.984140 1.862670 0.997141 1.170508 1.081240 1.132830 0.971235 0.995721 0.994688 0.987519 1.198100 1.545256 1.162460 1.192866 1.144943 34.489457 1.163103 0.998353 1.227744 1.050210 1.000000 2.051693 0.000079 0.000000 22.400000 9.485767 -8396.833444 0.091480
6.000000e+02 119655.646649 33576.465465 12940.549496 80970.069467 14981.316174 1.130718 999.204090 0.000000 1411.066433 96064.598635 26184.457440 240592.606182 4705.939567 328979.026266 2891.546946 21255.653302 1024782.594440 1007888.556141 2436106.369022 2433.451174 1230370.442295 4499342.086809 4678024.136271 65854930.011299 783084.940942 42925033.998643 12549691.631459 2430825.027524 2074303.708847 12827305.397298 43754052.480019 0.000000 4355367656.102935 0.892923 0.457981 1.097107 1.121667 0.982054 0.797044 0.931827 1.000000 0.933016 1.282052 1.069957 0.983117 1.922955 0.996992 1.181552 1.085693 1.132962 0.970103 0.995449 0.994364 0.986870 1.200940 1.538453 1.164184 1.195243 1.145097 33.496953 1.169847 0.998270 1.234642 1.052843 1.000000 2.052214 0.000085 0.000000 22.400000 9.482846 -8589.687732 0.091436
6.300000e+02 122124.725656 32701.490796 13407.627068 82502.628115 15131.965376 1.131365 972.281887 0.000000 1407.568572 90848.938763 26263.874905 240356.207652 4854.134751 328929.812365 2917.217092 21336.908120 1024955.977986 1006752.577985 2435460.017244 2432.672867 1229566.636463 4509672.534484 4657588.903834 65937143.744685 784574.712537 42929696.455228 12189944.074792 2444307.649133 2074131.766596 12895651.442508 43863997.267381 0.000000 4356432575.521965 0.911349 0.446047 1.136706 1.142898 0.991929 0.797500 0.906720 1.000000 0.930703 1.212445 1.073202 0.982151 1.983511 0.996843 1.192042 1.089844 1.133154 0.969010 0.995185 0.994046 0.986226 1.203697 1.531733 1.165638 1.197517 1.145221 32.536735 1.176336 0.998187 1.241220 1.055489 1.000000 2.052716 0.000082 0.000000 22.800000 9.479998 -8766.934842 0.091393
6.600000e+02 124458.608823 31965.929895 13903.064485 84020.029541 15283.157738 1.116356 977.587993 0.000000 1363.142891 86039.342369 26342.663446 240119.088718 5005.920328 328880.638547 2943.219440 21417.804552 1025193.121445 1005648.625138 2434805.197901 2431.881674 1228764.669764 4520171.931222 4637381.240903 66025213.877807 786105.743688 42933532.377723 11841310.185020 2457231.396233 2073960.535431 12960737.205742 43974455.434976 0.000000 4357478608.480889 0.928765 0.436014 1.178710 1.163918 1.001840 0.786920 0.911668 1.000000 0.901328 1.148258 1.076422 0.981182 2.045534 0.996694 1.202667 1.093976 1.133416 0.967947 0.994917 0.993723 0.985582 1.206500 1.525087 1.167194 1.199853 1.145323 31.606180 1.182556 0.998104 1.247485 1.058147 1.000000 2.053209 0.000081 0.000000 22.800000 9.477219 -8934.476686 0.091351
6.900000e+02 126827.222061 31303.002817 14430.801307 85553.660273 15436.960492 1.117027 948.664526 0.000000 1362.253385 81602.771937 26421.107462 239880.277668 5163.898921 328831.446671 2969.653572 21498.601033 1025508.302223 1004571.765916 2434135.101127 2431.069385 1227961.926927 4531220.225648 4617379.847956 66138999.308172 787777.386150 42938488.822860 11503683.641545 2469629.823807 2073789.468150 13022504.474924 44085339.178661 0.000000 4358509925.012757 0.946441 0.426971 1.223452 1.185163 1.011922 0.787393 0.884695 1.000000 0.900740 1.089048 1.079627 0.980206 2.110088 0.996545 1.213469 1.098103 1.133765 0.966911 0.994643 0.993391 0.984939 1.209449 1.518509 1.169206 1.202405 1.145455 30.705006 1.188522 0.998022 1.253430 1.060815 1.000000 2.053695 0.000078 0.000000 22.800000 9.474505 -9104.511687 0.091307
7.200000e+02 129236.445837 30705.277571 14977.840253 87107.690443 15594.537554 1.117720 948.482485 0.000000 1361.331872 77530.796932 26500.275062 239636.705335 5329.212916 328782.228085 2996.898014 21580.412959 1025894.263333 1003519.253606 2433442.712938 2430.228924 1227157.214050 4542671.907561 4597575.344909 66252973.437217 789578.686880 42943827.534452 11176829.784941 2481497.043049 2073618.302849 13081030.562936 44196576.829810 0.000000 4359522529.396709 0.964419 0.418818 1.269830 1.206691 1.022251 0.787881 0.884525 1.000000 0.900131 1.034705 1.082862 0.979211 2.177639 0.996396 1.224601 1.102281 1.134191 0.965898 0.994360 0.993047 0.984293 1.212505 1.511996 1.171221 1.205154 1.145598 29.832585 1.194234 0.997940 1.259063 1.063492 1.000000 2.054172 0.000077 0.000000 22.400000 9.471852 -9277.461987 0.091262
7.300000e+02 130131.217818 30507.307304 15162.370711 87628.382694 15648.029951 1.117972 948.432758 0.000000 1360.993298 76247.465801 26527.455930 239552.625754 5385.816778 328765.827885 3006.385413 21608.579750 1026059.102665 1003173.532536 2433204.527812 2429.940026 1226888.484455 4546817.298154 4591019.001392 66298644.847188 790274.340284 42946253.682411 11070350.050275 2485332.121073 2073561.216131 13099847.493717 44233714.339596 0.000000 4359858407.375748 0.971097 0.416118 1.285475 1.213904 1.025758 0.788059 0.884479 1.000000 0.899907 1.017578 1.083973 0.978867 2.200768 0.996346 1.228478 1.103720 1.134374 0.965565 0.994263 0.992929 0.984078 1.213612 1.509840 1.172028 1.206216 1.145663 29.548375 1.196079 0.997912 1.260874 1.064385 1.000000 2.054330 0.000127 0.000000 22.400000 9.470981 -9341.694742 0.091246
7.500000e+02 132567.401365 28330.827312 10118.414670 88659.798244 15756.148390 1.118509 948.975899 0.000000 1360.274788 73750.568373 26584.130355 239376.891450 5500.266881 328733.067802 3026.380433 21667.417076 1026426.542905 1002490.169079 2432714.343918 2429.346311 1226350.753546 4555476.867892 4577981.961049 66385041.384175 791767.886475 42951491.967180 10860941.276496 2492816.492262 2073447.089861 13136514.311727 44308059.825388 0.000000 4360528558.320016 0.989276 0.386431 0.857845 1.228192 1.032845 0.788437 0.884986 1.000000 0.899432 0.984255 1.086289 0.978149 2.247535 0.996247 1.236648 1.106725 1.134780 0.964907 0.994063 0.992687 0.983646 1.215923 1.505553 1.173555 1.208496 1.145802 28.989433 1.199681 0.997857 1.264403 1.066174 1.000000 2.054646 0.000130 0.000000 22.800000 9.469261 -9516.580396 0.091213
7.800000e+02 136338.974758 44110.423462 10489.621704 90197.268752 15919.365081 1.119372 950.089461 0.000000 1359.149110 70242.460417 26669.629541 239109.442221 5675.382899 328683.919868 3057.146871 21756.541253 1026989.572116 1001487.476225 2431965.931996 2428.439958 1225544.613295 4568876.556850 4558603.055930 66555078.881404 794176.581529 42955360.168269 10555064.608545 2503627.833077 2073276.232150 13189092.853338 44419668.041380 0.000000 4361639183.457422 1.017422 0.601664 0.889316 1.249491 1.043544 0.789046 0.886024 1.000000 0.898687 0.937437 1.089782 0.977056 2.319092 0.996098 1.249220 1.111278 1.135402 0.963942 0.993757 0.992316 0.983000 1.219500 1.499179 1.176561 1.212172 1.145906 28.173004 1.204884 0.997775 1.269464 1.068860 1.000000 2.055169 0.000129 0.000000 22.800000 9.466733 -9787.329321 0.091162
8.100000e+02 140221.324511 76130.511779 11093.351642 91765.264846 16087.924094 1.120881 951.670280 0.000000 1358.047426 66954.434215 26756.909407 238833.572303 5859.781889 328634.627364 3089.301116 21847.837405 1027531.802209 1000503.118238 2431185.364229 2427.504764 1224733.659721 4583180.532532 4539404.637101 66888466.414637 796880.108928 42956222.264150 10257759.457280 2513964.670134 2073104.659918 13238536.897520 44531450.899692 0.000000 4363695405.673538 1.046393 1.038416 0.940501 1.271212 1.054594 0.790110 0.887498 1.000000 0.897959 0.893556 1.093349 0.975929 2.394441 0.995949 1.262359 1.115941 1.136002 0.962995 0.993438 0.991934 0.982349 1.223318 1.492866 1.182455 1.216299 1.145929 27.379453 1.209859 0.997693 1.274223 1.071550 1.000000 2.056138 0.000128 0.000000 22.400000 9.464253 -10066.030518 0.091110
